SWIS Number ,Activity,OperationalStatus,Category,Activity Classification,County
30-CR-0114,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Orange
30-CR-0138,Solid Waste Disposal Site,Inactive,Disposal,Solid Waste Disposal Site,Orange
31-AA-0220,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Placer
31-AA-0622,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Placer
32-AA-0003,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Plumas
32-AA-0031,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Plumas
32-CR-0007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Plumas
33-AA-0006,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Riverside
33-AA-0013,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Riverside
33-AA-0292,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,Riverside
33-CR-0012,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Riverside
33-CR-0030,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Riverside
34-AA-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sacramento
34-AA-0012,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sacramento
34-AA-0020,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Sacramento
34-AA-0020,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Sacramento
34-CR-5007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sacramento
34-CR-5014,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sacramento
35-CR-0001,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Benito
36-AA-0003,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,San Bernardino
36-AA-0012,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-AA-0026,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,San Bernardino
36-AA-0042,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-AA-0046,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,San Bernardino
36-AA-0046,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,San Bernardino
36-AA-0053,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-AA-0060,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,San Bernardino
36-AA-0068,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,San Bernardino
36-AA-0074,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,San Bernardino
36-AA-0084,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,San Bernardino
36-AA-0313,Inert Debris Engineered Fill Operation,Active,Disposal,Solid Waste Operation,San Bernardino
36-AA-0343,Nonhazardous Ash Disposal/Monofill Facility,Active,Disposal,Solid Waste Facility,San Bernardino
36-AA-0390,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Bernardino
36-CR-0016,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-CR-0034,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
37-AA-0007,Solid Waste Disposal Site,Clean Closed,Disposal,Solid Waste Disposal Site,San Diego
37-AA-0019,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-AA-0906,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Diego
37-AA-0906,Large Volume In-Vessel Digestion Facility,Active,In-Vessel Digestion,Solid Waste Facility,San Diego
37-AA-0923,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Diego
37-AA-0946,Green Material Composting Operation,Active,Composting,Solid Waste Operation,San Diego
37-CR-0003,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0028,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0036,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0043,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0054,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0061,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0107,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0114,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
39-AA-0011,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Joaquin
39-AA-0019,Large Volume Transfer/Processing Facility,Inactive,Transfer/Processing,Solid Waste Facility,San Joaquin
39-AA-0026,Green Material Composting Facility,Inactive,Composting,Solid Waste Facility,San Joaquin
39-CR-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Joaquin
39-CR-0016,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Joaquin
39-CR-0024,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Joaquin
39-CR-0031,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Joaquin
40-AA-0004,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,San Luis Obispo
40-AA-0004,Green Material Composting Operation,Closed,Composting,Solid Waste Operation,San Luis Obispo
40-AA-0004,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Luis Obispo
40-CR-0007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Luis Obispo
41-AA-0008,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,San Mateo
42-AA-0010,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Santa Barbara
42-AA-0017,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Santa Barbara
42-CR-0027,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Barbara
43-AA-0003,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Santa Clara
43-AM-0001,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Santa Clara
43-AN-0011,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Clara
43-AN-0021,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Clara
43-CR-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Clara
44-AA-0005,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Santa Cruz
45-AA-0008,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Shasta
45-CR-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Shasta
45-CR-0011,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Shasta
45-CR-0018,Wood Waste Disposal Site,Closed,Disposal,Solid Waste Facility,Shasta
46-CR-0008,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sierra
46-CR-0015,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sierra
47-AA-0029,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Siskiyou
47-CR-0003,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Siskiyou
47-CR-0010,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Siskiyou
47-CR-0021,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Siskiyou
48-AA-0010,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Solano
48-AA-0089,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Solano
48-AA-0089,Direct Transfer Facility,Closed,Transfer/Processing,Solid Waste Facility,Solano
49-AA-0001,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Sonoma
49-AA-0001,Large Volume Transfer/Processing Facility,Absorbed,Transfer/Processing,Solid Waste Facility,Sonoma
49-AA-0244,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sonoma
49-AA-0352,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sonoma
49-AA-0361,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sonoma
50-AA-0009,Transformation Facility,Active,Transformation,Solid Waste Facility,Stanislaus
50-AA-0018,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,Stanislaus
50-CR-0006,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Stanislaus
52-AA-0001,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Tehama
52-AA-0024,Nonhazardous Petroleum Contaminated Soil Transfer/Processing Operation,Closed,Transfer/Processing,Solid Waste Facility,Tehama
52-CR-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Tehama
53-AA-0002,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Trinity
53-AA-0013,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Trinity
53-AA-0020,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Trinity
53-AA-0035,Treatment Unit (in situ),Closed,Disposal,Solid Waste Facility,Trinity
54-AA-0009,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Tulare
54-AA-0016,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Tulare
54-AA-0024,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Tulare
54-CR-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Tulare
55-AA-0011,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Tuolumne
55-CR-0010,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Tuolumne
56-AA-0006,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Ventura
56-CR-0021,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Ventura
56-CR-0029,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Ventura
56-CR-0040,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Ventura
56-CR-0047,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Ventura
56-CR-0055,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Ventura
57-AA-0018,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Yolo
57-CR-0003,Solid Waste Disposal Site,Clean Closed,Disposal,Solid Waste Disposal Site,Yolo
58-AA-0006,Solid Waste Landfill,Inactive,Disposal,Solid Waste Facility,Yuba
58-AA-0015,Composting Facility (Mixed),Closing,Composting,Solid Waste Facility,Yuba
58-CR-0006,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Yuba
19-AK-5035,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AR-1211,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
36-CR-0080,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
07-CR-0042,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Contra Costa
19-AA-1047,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
19-AA-1051,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
10-AA-0188,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Fresno
37-AB-0011,Green Material Composting Operation,Closed,Composting,Solid Waste Operation,San Diego
19-AQ-0008,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-1056,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
49-AA-0360,Inert Waste Disposal Site,Inactive,Disposal,Solid Waste Facility,Sonoma
33-AA-0297,Inert Debris Type A and B Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Riverside
33-AA-0297,Green Material Composting Facility,Active,Composting,Solid Waste Facility,Riverside
19-AA-5270,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
39-AA-0045,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Joaquin
39-AA-0045,Inert Debris Type A Processing Operation,Active,Transfer/Processing,Solid Waste Operation,San Joaquin
39-AA-0045,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,San Joaquin
19-AA-0394,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
19-AA-5543,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-5253,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-5221,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-5383,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-5540,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-5088,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
40-AA-0039,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Luis Obispo
24-AA-0031,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Merced
29-CR-0029,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Nevada
17-AA-0014,Large Volume Transfer/Processing Facility,Planned,Transfer/Processing,Solid Waste Facility,Lake
17-AA-0014,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,Lake
17-AA-0014,Large Volume CDI Debris Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Lake
19-AA-1066,Green Material Composting Operation,Active,Composting,Solid Waste Operation,Los Angeles
19-AA-1072,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Los Angeles
43-AA-0027,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Santa Clara
49-AA-0394,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Sonoma
58-AA-0024,Inert Debris Type A Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Yuba
36-AA-0438,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Bernardino
19-AR-1230,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
35-AA-0025,Green Material Composting Operation,Active,Composting,Solid Waste Operation,San Benito
36-AA-0441,Green Material Composting Operation,Active,Composting,Solid Waste Operation,San Bernardino
22-AA-0013,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Mariposa
22-AA-0013,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,Mariposa
38-AA-0015,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,San Francisco
37-CR-0116,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-AA-0958,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Diego
19-AA-1086,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
19-AA-1090,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
07-AA-0059,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Contra Costa
33-AA-0308,Green Material Composting Operation,Active,Composting,Solid Waste Operation,Riverside
42-AA-0076,Solid Waste Landfill,Planned,Disposal,Solid Waste Facility,Santa Barbara
36-AA-0446,Large Volume Transfer/Processing Facility,Planned,Transfer/Processing,Solid Waste Facility,San Bernardino
36-AA-0446,Large Volume In-Vessel Digestion Facility,Active,In-Vessel Digestion,Solid Waste Facility,San Bernardino
01-AA-0298,Chipping and Grinding Facility/Operation,Closed,Composting,Solid Waste Facility,Alameda
37-AA-0963,Emergency CDI Debris Processing Operation,Closed,Transfer/Processing,Solid Waste Operation,San Diego
37-CR-0118,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
30-AB-0408,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
47-AA-0058,Sealed Containers Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Siskiyou
37-CR-0119,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
30-AB-0409,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
30-AB-0417,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
37-AB-0016,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Diego
30-AB-0429,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
30-AB-0436,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
30-AB-0443,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
19-AR-1239,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
24-CR-0026,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Merced
40-AA-0047,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Luis Obispo
50-AA-0029,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Stanislaus
50-AA-0036,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Stanislaus
50-AA-0043,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Stanislaus
27-AA-0119,Composting Facility (Other),Active,Composting,Solid Waste Facility,Monterey
37-CR-0123,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
12-AA-0124,Small Volume CDI Debris Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Humboldt
01-AA-0304,Inert Debris Engineered Fill Operation,Active,Disposal,Solid Waste Operation,Alameda
30-AB-0457,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
37-AB-0023,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Diego
19-AA-1121,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
37-AA-0979,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Diego
19-CR-0828,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
33-AA-0330,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Riverside
36-AA-0464,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Bernardino
36-AA-0468,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Bernardino
33-AA-0336,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Riverside
33-AA-0339,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Riverside
33-AA-0343,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Riverside
30-AB-0461,Green Material Composting Operation,Active,Composting,Solid Waste Operation,Orange
15-AA-0400,Contaminated Soil Transfer/Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Kern
19-CR-0830,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
15-AA-0401,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Kern
23-AA-0048,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Mendocino
19-AA-1130,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Los Angeles
15-AA-0402,Engineered Municipal Solid Waste Conversion,Active,EMSW Conversion,Solid Waste Facility,Kern
33-AA-0359,Inert Debris Engineered Fill Operation,Active,Disposal,Solid Waste Operation,Riverside
41-AA-0196,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,San Mateo
19-AA-1135,Large Volume Transfer/Processing Facility,Inactive,Transfer/Processing,Solid Waste Facility,Los Angeles
36-AA-0484,Engineered Municipal Solid Waste Conversion,Active,EMSW Conversion,Solid Waste Facility,San Bernardino
36-AA-0485,Green Material Composting Operation,Active,Composting,Solid Waste Operation,San Bernardino
49-AA-0408,Biosolids Composting at POTWs,Active,Composting,Solid Waste Operation,Sonoma
30-AB-0464,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
21-CR-0028,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Marin
49-AA-0410,Small Volume Transfer Station,Inactive,Transfer/Processing,Solid Waste Facility,Sonoma
36-AA-0494,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Bernardino
34-CR-0007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sacramento
37-CR-0127,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
19-AR-1263,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
33-AA-0365,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Riverside
50-AA-0051,Secondary Material Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Stanislaus
36-AA-0497,Small Volume C&D Wood Debris Chipping and Grinding Operation,Active,Transfer/Processing,Solid Waste Operation,San Bernardino
38-CR-0029,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Francisco
39-CR-0042,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Joaquin
10-AA-0232,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Fresno
57-AA-0040,Chipping and Grinding Facility/Operation,Inactive,Composting,Solid Waste Facility,Yolo
34-AA-0235,Medium Volume In-Vessel Digestion Facility,Inactive,In-Vessel Digestion,Solid Waste Facility,Sacramento
33-AA-0368,Green Material Composting Operation,Active,Composting,Solid Waste Operation,Riverside
54-AA-0063,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Tulare
38-AA-0026,Small Volume CDI Debris Processing Operation,Closed,Transfer/Processing,Solid Waste Operation,San Francisco
49-AA-0437,Emergency Transfer/Processing Operation,Inactive,Transfer/Processing,Solid Waste Operation,Sonoma
01-CR-0053,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
15-AA-0411,Limited Volume Transfer Operation,Inactive,Transfer/Processing,Solid Waste Operation,Kern
36-AA-0501,Agricultural Material Composting Operation,Planned,Composting,Solid Waste Operation,San Bernardino
34-AA-0238,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Sacramento
19-AR-1270,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
37-CR-0130,Solid Waste Disposal Site,Inactive,Disposal,Solid Waste Disposal Site,San Diego
50-AA-0053,Dairy In-Vessel Digestion Operation,Active,In-Vessel Digestion,Solid Waste Operation,Stanislaus
19-AR-1272,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
04-AA-0038,Research Composting Operation,Active,Composting,Solid Waste Operation,Butte
10-AA-0234,Emergency Transfer/Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Fresno
19-AR-1274,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
36-AA-0508,Research In-Vessel Digestion Operation,Active,In-Vessel Digestion,Solid Waste Operation,San Bernardino
30-AB-0476,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Orange
24-AA-0046,Research Composting Operation,Active,Composting,Solid Waste Operation,Merced
19-AR-1281,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
01-AA-0007,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Alameda
01-AA-0007,Large Volume In-Vessel Digestion Facility,Active,In-Vessel Digestion,Solid Waste Facility,Alameda
01-AA-0008,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Alameda
01-CR-0026,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
02-CR-0002,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alpine
02-CR-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alpine
03-CR-0007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Amador
03-CR-0010,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Amador
04-AC-0020,Green Material Composting Operation,Active,Composting,Solid Waste Operation,Butte
04-CR-0014,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Butte
05-AA-0021,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Calaveras
05-CR-0012,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Calaveras
06-CR-0003,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Colusa
06-CR-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Colusa
07-AA-0027,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Contra Costa
07-CR-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Contra Costa
07-CR-0041,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Contra Costa
08-CR-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Del Norte
08-CR-0007,Wood Waste Disposal Site,Closed,Disposal,Solid Waste Facility,Del Norte
10-AA-0018,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-AA-0022,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-AA-0171,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Fresno
10-AA-0172,Inert Debris Engineered Fill Operation,Active,Disposal,Solid Waste Operation,Fresno
10-CR-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-CR-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-CR-0023,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-CR-0056,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
11-AA-0003,Wood Waste Disposal Site,Closed,Disposal,Solid Waste Facility,Glenn
12-AA-0002,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Humboldt
12-AA-0022,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Humboldt
12-CR-0001,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Humboldt
12-CR-0017,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Humboldt
13-AA-0004,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Imperial
13-AA-0005,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Imperial
13-AA-0022,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Imperial
13-AA-0026,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Imperial
13-CR-0025,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Imperial
14-AA-0018,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Inyo
14-CR-0003,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Inyo
15-AA-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Kern
