SWIS Number ,Activity,OperationalStatus,Category,Activity Classification,County
10-AA-0207,Limited Volume Transfer Operation,Closed,Transfer/Processing,Solid Waste Operation,Fresno
19-AA-1081,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
19-AA-1088,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
36-AA-0445,Composting Facility (Other),Active,Composting,Solid Waste Facility,San Bernardino
19-AR-1231,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
13-AA-0101,Medium Volume CDI Debris Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Imperial
36-AA-0447,Inert Debris Type A Processing Operation,Active,Transfer/Processing,Solid Waste Operation,San Bernardino
56-AA-0153,Solid Waste Disposal Site,Closing,Disposal,Solid Waste Disposal Site,Ventura
33-AA-0312,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Riverside
30-AB-0405,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Orange
52-AA-0028,Solid Waste Disposal Site,Active,Disposal,Solid Waste Disposal Site,Tehama
07-AA-0062,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Contra Costa
07-AC-0044,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Contra Costa
58-AA-0027,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Yuba
13-AA-0110,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Imperial
19-AA-1109,Large Volume Transfer/Processing Facility,Closed,Transfer/Processing,Solid Waste Facility,Los Angeles
30-AB-0423,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
30-AB-0434,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
30-AB-0438,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
13-AA-0111,Large Volume Transfer/Processing Facility,Planned,Transfer/Processing,Solid Waste Facility,Imperial
15-AA-0396,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Kern
37-AA-0971,Limited Volume Transfer Operation,Closed,Transfer/Processing,Solid Waste Operation,San Diego
30-AB-0445,Large Volume Transfer/Processing Facility,Inactive,Transfer/Processing,Solid Waste Facility,Orange
19-AA-1111,Inert Debris Engineered Fill Operation,Active,Disposal,Solid Waste Operation,Los Angeles
50-AA-0038,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Stanislaus
19-AR-1242,Medium Volume C&D Wood Debris Chipping and Grinding Facility,Active,Transfer/Processing,Solid Waste Facility,Los Angeles
33-AA-0318,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Riverside
33-AA-0321,Green Material Composting Operation,Active,Composting,Solid Waste Operation,Riverside
27-AA-0120,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Monterey
19-AA-1117,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
30-AB-0452,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
30-AB-0459,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
58-AA-0031,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Yuba
37-AA-0981,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Diego
43-AA-0034,Large Volume Transfer/Processing Facility,Closed,Transfer/Processing,Solid Waste Facility,Santa Clara
37-AA-0983,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Diego
36-AA-0459,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Bernardino
36-AA-0466,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Bernardino
33-AA-0334,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Riverside
